discovery_id,lat,lon,area_km2,p_mean,p_std,n_cells,province,plausibility,matched,nearest_max_id,dist_to_max_km,T_res_estimate_C,T_res_source,mwe_central,mwe_low,mwe_high
45,40.53315484615385,-116.77512926923076,832.0,0.9995565414428712,0.0002419949887553,52,Basin_and_Range,plausible,True,62,10.3,218.71716022491455,geothermometer,763.5514866182475,153.812808912148,2051.666409572781
49,40.74026035714287,-114.78108967857142,448.0,0.9995258450508118,0.0002663587220013,28,Basin_and_Range,plausible,True,67,18.1,231.3138771057129,geothermometer,451.37902794432597,92.88126166324325,1195.2742707802774
20,38.12959716666666,-112.68509566666668,384.0,0.9995169639587402,0.0002669226087164,24,Rocky_Mountain,plausible,True,38,11.8,199.48737263679504,geothermometer,299.760089354675,57.82845491909312,828.4643078241993
43,40.186025117647056,-115.27932270588236,272.0,0.9994982481002808,0.0003206538094673,17,Basin_and_Range,plausible,True,63,17.3,216.89983308315277,geothermometer,246.0982389246632,49.40386614229973,662.8072798802867
33,39.05884872222222,-123.30615422222225,288.0,0.999508023262024,0.0003005181788466,18,Other,plausible,True,45,8.6,203.43878149986267,geothermometer,232.9338429155291,45.39978516420056,639.6042266420759
75,42.42395199999999,-118.02433628571428,224.0,0.999499499797821,0.0003147941606584,14,Other,plausible,True,81,8.9,222.67596244812012,geothermometer,211.89407646288862,42.99177145430304,566.5974009942715
70,41.901006375,-120.737374125,256.0,0.9995396137237548,0.0002667405642569,16,Cascades,plausible,True,77,13.8,195.8647346496582,geothermometer,193.2278980600652,36.89926290196587,537.4321751526004
54,41.11360276923077,-116.15993246153845,208.0,0.999487578868866,0.0003082323237322,13,Basin_and_Range,plausible,True,68,23.9,216.2095469236374,geothermometer,187.16907483541942,37.52350302325138,504.5493095501248
22,38.00356127272727,-114.60381890909092,176.0,0.9994949102401732,0.0002458324888721,11,Basin_and_Range,plausible,True,41,21.9,232.57347702980042,geothermometer,178.90808205884153,36.88421878073821,473.12840023814283
40,39.92431254545455,-118.49279190909093,176.0,0.9995133876800536,0.0003518354787956,11,Other,plausible,True,60,5.0,213.74391555786133,geothermometer,155.27983928091203,30.97715808625584,419.9648539878015
39,39.5040115,-117.23306841666668,192.0,0.9995545744895936,0.0002953543735202,12,Basin_and_Range,plausible,True,57,5.4,200.5433088541031,geothermometer,151.32554257919656,29.275601935011327,417.48452419128256
38,39.163197454545454,-118.0151980909091,176.0,0.999522626399994,0.0003144324582535,11,Other,plausible,True,53,6.8,205.3598117828369,geothermometer,144.75906110098174,28.346963541273272,396.29310308295834
18,37.8954369,-118.5081429,160.0,0.9995492696762084,0.0002360810321988,10,Other,plausible,True,34,3.8,215.83036601543427,geothermometer,143.54365276686545,28.756093433559855,387.14159654885583
26,38.34219744444445,-122.37323866666668,144.0,0.9994990229606628,0.0003191727155353,9,Other,plausible,True,36,20.4,197.8701001405716,geothermometer,110.74958946670596,21.27055958433563,306.9381163411561
77,42.27080966666666,-118.98033516666668,96.0,0.999460220336914,0.0003030645893886,6,Other,plausible,True,80,7.1,220.12805700302124,geothermometer,89.06780082342318,17.989058350961887,238.90357854674727
90,42.96550500000001,-118.226706,80.0,0.9994955062866212,0.0003000015276484,5,Other,plausible,True,85,24.3,238.3064103126526,geothermometer,84.5918379606734,17.58304961109009,222.41582432321943
41,39.93691242857143,-119.91399814285715,112.0,0.9995349645614624,0.0002617852878756,7,Other,plausible,True,59,10.6,188.93485307693481,geothermometer,79.00341906668308,14.759980935961206,222.67555737642292
96,43.56198260000001,-121.688401,80.0,0.9995468258857728,0.0001930020225699,5,Cascades,plausible,True,88,23.1,221.46535396575928,geothermometer,74.98594225744884,15.181575685283951,200.80255899096414
17,37.683435,-115.187165,80.0,0.999445915222168,0.0003488888032734,5,Basin_and_Range,plausible,True,30,23.6,216.17050647735596,geothermometer,71.96583759830935,14.426549520499082,194.00732350790037
32,38.85124016666667,-116.75227866666668,96.0,0.9994781017303468,0.0002515015366952,6,Basin_and_Range,plausible,True,43,23.7,194.96258199214935,geothermometer,71.84297193165595,13.682851128020081,200.14771354027104
15,37.66383618181819,-117.12610795454545,352.0,0.9994828701019288,0.0003066243370994,22,Basin_and_Range,plausible,True,29,15.6,113.60290050506592,heat_flow_proxy,59.23611808252911,0.0,274.45169689718944
16,37.57563825,-118.245465,64.0,0.9994896650314332,0.0003337085072416,4,Other,plausible,True,28,11.4,193.28665494918823,geothermometer,47.130574925479465,8.93071582810726,131.71114471169224
87,42.67804575,-120.9894965,64.0,0.9994438886642456,0.0002937206299975,4,Cascades,plausible,True,84,13.6,185.37789583206177,geothermometer,43.52174119646899,8.028507395854641,123.59126882141864
35,39.036889333333335,-117.666952,48.0,0.9996561408042908,0.0001506237749708,3,Basin_and_Range,plausible,True,50,6.0,208.15333783626556,geothermometer,40.43577612466309,7.96999810371882,110.23100962751454
84,42.58821425,-121.82208649999998,64.0,0.9995429515838624,0.0002347896370338,4,Cascades,plausible,True,82,5.1,178.30185890197754,heat_flow_proxy,40.29288565000116,7.221293509237685,116.32634384186603
93,43.12121266666667,-121.935445,48.0,0.999559223651886,0.0002199390437453,3,Cascades,plausible,True,86,7.6,202.0095807313919,geothermometer,38.33318984647226,7.444351534171108,105.50019050158512
34,38.953048333333335,-118.917792,48.0,0.9994294047355652,0.0002981226716656,3,Other,plausible,True,48,6.8,198.61237347126007,geothermometer,37.170559025071896,7.1536938288210195,102.88427115343434
80,42.43849566666666,-120.18426666666666,48.0,0.9995400309562684,0.0001678105472819,3,Cascades,plausible,True,83,9.2,197.71344602108002,geothermometer,36.862917871690634,7.076783540475704,102.1920785583265
102,43.99556833333333,-114.30532333333332,48.0,0.9995644688606262,0.0002063970750896,3,Snake_River_Plain,plausible,True,89,22.6,188.60992074012756,geothermometer,33.74740613967405,6.2979056074715585,95.18217716128918
7,34.928614333333336,-116.41611333333331,48.0,0.9994628429412842,0.0002174519031541,3,Basin_and_Range,plausible,True,13,22.5,131.5701961517334,heat_flow_proxy,14.226624281907393,1.417710143029894,51.26041798131422
8,35.141215249999995,-116.9086325,64.0,0.9994463324546814,0.0002321945503354,4,Basin_and_Range,plausible,True,14,22.4,91.73014491796494,heat_flow_proxy,0.7894797709171504,0.0,27.443680613927036
24,38.39489830000001,-117.5934662,160.0,0.9995384216308594,0.0002657819422893,10,Basin_and_Range,plausible,True,37,6.4,71.77367925643921,heat_flow_proxy,0.0,0.0,17.38624039127107
6,34.02551040000001,-117.785785,80.0,0.9994899034500122,0.0002513992949388,5,Basin_and_Range,plausible,True,9,22.3,68.8983342051506,heat_flow_proxy,0.0,0.0,5.002995643160426
